Year,Month,Day,T,TM,Tm,H,PP,VV,V,VM,RA,TS,FG,pm10,no2,so2,co,AQI
2016,1,2,20.8,28.3,12.9,45,0,6.3,1.1,5.4,0,0,0,79,60,9,15,79
2016,1,3,21.4,29,13.7,45,0,6.3,0.4,3.5,0,0,0,79,45,10,13,79
2016,1,4,21.4,29,13.7,45,0,6.3,0.4,3.5,0,0,0,72,45,11,13,72
2016,1,5,21.4,29,13.7,45,0,6.3,0.4,3.5,0,0,0,76,42,14,11,76
2016,1,6,21.4,29,13.7,45,0,6.3,0.4,3.5,0,0,0,65,25,26,6,65
2016,1,7,21,28.7,17,65,0,6.3,3.1,5.4,0,0,0,57,25,15,5,57
2016,1,8,20.4,27.6,16.2,61,0,5.5,1.3,5.4,0,0,0,52,36,17,6,52
2016,1,9,20.7,28.4,15.1,47,0,6.3,0.9,3.5,0,0,0,54,33,18,5,54
2016,1,10,20.7,28.4,15.1,47,0,6.3,0.9,3.5,0,0,0,51,28,20,4,51
2016,1,11,20.7,28.4,15.1,47,0,6.3,0.9,3.5,0,0,0,43,28,20,4,43
2016,1,17,20.7,28.4,15.1,47,0,6.3,0.9,3.5,0,0,0,43,41,30,11,43
2016,1,18,20.7,28.4,15.1,47,0,6.3,0.9,3.5,1,0,0,55,28,30,7,55
2016,1,19,21.4,28.4,17.8,73,0.51,4.8,3,5.4,1,0,0,39,27,32,7,39
2016,1,20,21.2,25.9,19.4,88,0.51,4,1.3,3.5,1,0,0,32,28,25,7,32
2016,1,21,22.6,27.4,19,78,4.32,5.3,2.8,7.6,1,0,0,41,40,17,11,41
2016,1,22,22.6,27.4,19,78,4.32,5.3,2.8,7.6,1,0,0,101,31,16,9,101
2016,1,23,22.6,27.4,19,78,4.32,5.3,2.8,7.6,1,0,0,95,40,6,8,95
2016,1,24,22.6,27.4,19,78,4.32,5.3,2.8,7.6,1,0,0,67,54,11,13,67
2016,1,25,22.9,29.2,18.5,70,0,5.5,2.6,7.6,1,0,0,66,33,12,7,66
2016,1,26,23.1,28.9,18.9,68,0,6.3,0.9,3.5,1,0,0,74,25,14,8,74
2016,1,27,23.4,29.3,19,66,0,4.8,1.1,3.5,1,0,0,61,13,1,15,61
2016,1,28,23.4,29.3,19,66,0,4.8,1.1,3.5,1,0,0,80,13,1,15,80
2016,1,29,23.4,29.3,19,66,0,4.8,1.1,3.5,1,0,0,80,41,12,20,80
2016,1,30,23.4,29.3,19,66,0,4.8,1.1,3.5,1,0,0,89,27,5,12,89
2016,1,31,23.1,30.7,16.4,43,0,6.3,1.5,5.4,1,0,0,156,28,5,11,156
2016,2,1,23.3,31.4,16.4,36,0,6.9,0.9,3.5,1,0,0,125,25,3,18,125
2016,2,2,23.7,31.9,16.3,35,0,6.9,0.9,3.5,1,0,0,134,28,3,22,134
2016,2,3,23.6,32.2,16.2,44,0,6.3,1.5,5.4,1,0,0,153,23,4,20,153
2016,2,4,23.6,32.2,16.2,44,0,6.3,1.5,5.4,1,0,0,135,23,3,21,135
2016,2,5,23.6,32.2,16.2,44,0,6.3,1.5,5.4,1,0,0,144,20,3,21,144
2016,2,6,23.6,32.2,16.2,44,0,6.3,1.5,5.4,1,0,0,134,35,6,31,134
2016,2,7,23.2,31.2,17.3,61,0,5.6,1.1,3.5,1,0,0,229,12,5,20,229
2016,2,8,25.2,30.5,19.2,50,0,6.9,1.5,37,1,0,0,112,24,19,27,112
2016,2,9,24.3,31.7,18.6,50,0,6.3,0.4,3.5,1,0,0,135,28,48,29,135
2016,2,10,24.3,31.7,18.6,50,0,6.3,0.4,3.5,1,0,0,163,17,55,22,163
2016,2,11,24.3,31.7,18.6,50,0,6.3,0.4,3.5,1,0,0,123,20,2,22,123
2016,2,12,24.3,31.7,18.6,50,0,6.3,0.4,3.5,1,0,0,118,20,2,21,118
2016,2,13,24.8,31.9,19.5,49,0,5.5,2.4,3.5,1,0,0,107,18,2,16,107
2016,2,14,24,32.1,19,48,0,6.3,2.2,5.4,1,0,0,98,19,2,21,98
2016,2,15,23.1,31.2,17.3,54,0,6.6,2.8,5.4,1,0,0,82,15,2,21,82
2016,2,16,23.1,31.2,17.3,54,0,6.6,2.8,5.4,1,0,0,89,17,2,20,89
2016,2,17,23.1,31.2,17.3,54,0,6.6,2.8,5.4,1,0,0,109,16,2,18,109
2016,2,18,23.1,31.2,17.3,54,0,6.6,2.8,5.4,1,0,0,88,20,2,18,88
2016,2,19,24.8,29.9,18,44,0,6.9,1.3,3.5,1,0,0,107,20,3,18,107
2016,2,20,26.2,32.5,19.6,50,0,6.9,1.9,3.5,1,0,0,73,20,2,16,73
2016,2,21,26.9,33.2,20.2,50,0,7.4,0.6,3.5,1,0,0,66,18,3,19,66
2016,2,22,26.9,33.2,20.2,50,0,7.4,0.6,3.5,1,0,0,70,12,3,21,70
2016,2,23,26.9,33.2,20.2,50,0,7.4,0.6,3.5,1,0,0,71,21,3,17,71
2016,2,24,26.9,33.2,20.2,50,0,7.4,0.6,3.5,1,0,0,69,16,8,9,69
2016,2,25,26.4,33.4,22.3,59,0,5.5,3,5.4,1,0,0,83,15,6,8,83
2016,2,26,24.9,33.5,20.5,58,0,6.3,2.4,5.4,1,0,0,90,14,3,8,90
2016,2,27,24.9,31.3,18.7,51,0,6.9,2.4,5.4,1,0,0,89,25,4,9,89
2016,2,28,24.9,31.3,18.7,51,0,6.9,2.4,5.4,1,0,0,92,16,3,10,92
2016,2,29,24.9,31.3,18.7,51,0,6.9,2.4,5.4,1,0,0,109,20,3,10,109
2016,3,1,24.6,30.7,18.9,55,0,6.9,2.8,5.4,1,0,0,113,20,3,10,113
2016,3,7,25.4,33.4,18.7,46,0,6.9,1.9,3.5,1,0,0,113,69,3,18,113
2016,3,8,25.7,33.2,18.8,43,0,6.3,1.5,5.4,1,0,0,89,34,3,12,89
2016,3,9,26.7,34.3,19.5,44,0,6.9,0.6,3.5,1,0,0,96,21,2,13,96
2016,3,10,26.7,34.3,19.5,44,0,6.9,0.6,3.5,1,0,0,109,13,2,11,109
2016,3,11,26.7,34.3,19.5,44,0,6.9,0.6,3.5,1,0,0,108,19,2,10,108
2016,3,12,26.7,34.3,19.5,44,0,6.9,0.6,3.5,1,0,0,111,17,1,9,111
2016,3,13,27.8,35.4,22.7,57,0,6.3,2.4,5.4,1,0,0,92,34,1,10,92
2016,3,14,28.3,34.3,24.4,58,0,5.5,3.9,7.6,1,0,0,102,32,2,8,102
2016,3,15,26.2,34.4,22.4,66,0,6.3,2.2,3.5,1,0,0,101,40,2,10,101
2016,3,16,26.2,34.4,22.4,66,0,6.3,2.2,3.5,1,1,0,96,29,1,9,96
2016,3,17,26.2,34.4,22.4,66,0,6.3,2.2,3.5,1,1,0,108,29,1,9,108
2016,3,18,26.2,34.4,22.4,66,0,6.3,2.2,3.5,1,1,0,128,64,1,11,128
2016,3,19,29,35.2,23.3,46,0,7.4,3.1,3.5,1,1,0,124,1,1,11,124
2016,3,20,28.8,35.4,23.5,41,0,6.9,0.4,3.5,1,1,0,119,2,1,10,119
2016,3,21,29.2,36,24.7,45,0,6.9,1.1,3.5,1,1,0,102,1,1,8,102
2016,3,22,29.2,36,24.7,45,0,6.9,1.1,3.5,1,1,0,78,1,1,8,78
2016,3,23,29.2,36,24.7,45,0,6.9,1.1,3.5,1,1,0,78,8,4,11,78
2016,3,24,29.2,36,24.7,45,0,6.9,1.1,3.5,1,1,0,115,8,3,11,115
2016,3,25,27.8,35.8,22.8,40,0,6.9,3,5.4,1,1,0,116,8,4,10,116
2016,3,26,27.7,35,21.2,33,0,6.9,1.3,3.5,1,1,0,104,8,2,10,104
2016,3,27,27.8,35.1,20.7,33,0,6.9,2.8,5.4,1,1,0,111,8,3,9,111
2016,3,28,27.8,35.1,20.7,33,0,6.9,2.8,5.4,1,1,0,101,8,3,10,101
2016,3,29,27.8,35.1,20.7,33,0,6.9,2.8,5.4,1,1,0,108,15,5,10,108
2016,3,30,27.8,35.1,20.7,33,0,6.9,2.8,5.4,1,1,0,99,17,3,9,99
2016,3,31,28,35,23,44,0,6.9,1.3,3.5,1,1,0,98,16,4,9,98
2016,4,1,28.3,34.8,23.2,43,0,7.7,0.4,3.5,1,1,0,99,13,6,23,99
2016,4,2,28.4,35.3,23.5,46,0,6.9,1.1,3.5,1,1,0,125,13,6,22,125
2016,4,3,28.6,35.5,23.8,46,0,6.9,2.2,5.4,1,1,0,106,7,3,8,106
2016,4,4,28.6,35.5,23.8,46,0,6.9,2.2,5.4,1,1,0,112,25,5,15,112
2016,4,5,28.6,35.5,23.8,46,0,6.9,2.2,5.4,1,1,0,135,23,3,15,135
2016,4,6,28.6,35.5,23.8,46,0,6.9,2.2,5.4,1,1,0,178,9,3,16,178
2016,4,7,29,35.4,24.3,53,0,7.4,1.9,5.4,1,1,0,159,28,2,20,159
2016,4,8,28.7,36.3,23.1,60,0,6.9,1.3,3.5,1,1,0,393,45,3,12,393
2016,4,9,28.6,35.3,24.5,55,0,6.9,2.8,3.5,1,1,0,125,25,3,13,125
